label,ax,ay,az
Type: S (Sitting), T (Standing), W (Walking), X (Stop)
S,948,124,17588,-151,288,-40
S,904,120,17448,-153,289,-31
S,900,168,17544,-172,313,-27
S,880,160,17596,-150,290,-25
S,960,24,17660,-148,306,-18
S,912,64,17564,-151,285,-18
S,956,96,17584,-158,313,-43
S,932,108,17532,-140,282,-15
S,952,144,17584,-180,301,-33
S,924,68,17572,-163,283,-21
S,1000,96,17532,-138,295,-11
S,964,56,17364,-171,306,-19
S,884,112,17412,-168,289,-18
S,936,60,17600,-172,299,-23
S,992,48,17480,-152,290,-31
S,948,88,17528,-141,298,-27
S,896,92,17404,-158,306,-36
S,936,124,17548,-145,294,-10
S,960,12,17600,-135,281,-32
S,1020,92,17532,-151,303,-20
S,984,124,17464,-162,287,-26
S,920,80,17492,-134,303,-13
S,908,16,17484,-151,279,-27
S,896,56,17576,-163,319,-36
S,816,76,17552,-162,283,-15
S,984,172,17568,-149,289,-14
S,972,136,17504,-150,294,-4
S,892,72,17508,-142,317,-33
S,908,52,17596,-142,312,-25
S,944,-32,17524,-138,301,-42
S,1052,148,17408,-168,287,-41
S,880,32,17500,-138,315,-31
S,1004,72,17544,-151,304,-28
S,976,80,17600,-157,323,-34
S,884,96,17512,-145,309,-33
S,944,40,17624,-133,303,-12
S,964,116,17420,-155,306,7
S,868,40,17616,-153,283,-13
S,832,-4,17516,-169,274,-10
S,888,76,17480,-152,298,-19
S,1044,40,17580,-161,298,-35
S,996,60,17488,-170,277,-16
S,868,132,17560,-148,304,-30
S,1004,124,17596,-168,311,-26
S,1008,112,17472,-157,308,-9
S,1056,60,17352,-160,292,-27
S,984,40,17408,-152,312,-5
S,1004,112,17516,-159,292,-32
S,964,140,17556,-144,290,-20
S,1084,132,17504,-152,313,-26
S,920,84,17608,-162,288,-34
S,896,76,17520,-160,287,-36
S,1012,104,17588,-137,296,-32
S,1092,132,17400,-144,315,-28
S,1080,148,17532,-153,315,-38
S,1012,148,17472,-169,300,0
S,1144,112,17500,-131,289,-22
S,1200,144,17500,-143,306,-14
S,1120,204,17552,-168,273,-13
S,1148,176,17564,-144,293,-22
S,1104,204,17572,-146,293,-38
S,1196,44,17584,-156,298,-29
S,1140,160,17500,-147,298,-25
S,1140,76,17544,-131,289,-31
S,1148,180,17472,-176,286,-26
S,1020,112,17572,-163,307,-26
S,1064,100,17564,-152,297,-26
S,1172,364,17040,-210,343,-40
S,1056,140,17616,-155,309,-20
S,1004,124,17432,-148,309,-5
S,1136,144,17604,-160,300,-29
S,1116,216,17488,-147,285,0
S,1072,172,17628,-151,298,-13
S,1036,28,17604,-140,275,-28
S,1036,-36,17464,-143,292,-11
S,1064,200,17612,-157,293,-11
S,904,124,17592,-168,301,-2
S,932,148,17644,-191,294,6
S,960,84,17632,-165,287,-22
S,932,44,17536,-182,316,-8
S,1000,104,17684,-136,300,-31
S,976,40,17440,-155,302,-26
